,Unnamed: 0_src,MSD_src,form_src,eng_gloss_src,gitksan_gloss_src,morph_src,paradigm_i,Unnamed: 0_tgt,MSD_tgt,form_tgt,eng_gloss_tgt,gitksan_gloss_tgt,morph_tgt
235,804,ROOT,gup,eat.I,gup,gup,526,806,ROOT;3PL.II,gupdiit,eat.I-3PL.II,gup-3PL.II,gup-diit
236,804,ROOT,gup,eat.I,gup,gup,526,808,ROOT;TR;1SG.II,gubi'y,eat.I-TR-1SG.II,gup-TR-1SG.II,gup-i-'y
238,804,ROOT,gup,eat.I,gup,gup,526,805,ROOT;3.II,gupt,eat.I-3.II,gup-3.II,gup-t
239,804,ROOT,gup,eat.I,gup,gup,526,809,ROOT;TR;1PL.II,gubi'm,eat.I-TR-1PL.II,gup-TR-1PL.II,gup-i-'m
240,805,ROOT;3.II,gupt,eat.I-3.II,gup-3.II,gup-t,526,806,ROOT;3PL.II,gupdiit,eat.I-3PL.II,gup-3PL.II,gup-diit
241,805,ROOT;3.II,gupt,eat.I-3.II,gup-3.II,gup-t,526,808,ROOT;TR;1SG.II,gubi'y,eat.I-TR-1SG.II,gup-TR-1SG.II,gup-i-'y
242,805,ROOT;3.II,gupt,eat.I-3.II,gup-3.II,gup-t,526,804,ROOT,gup,eat.I,gup,gup
244,805,ROOT;3.II,gupt,eat.I-3.II,gup-3.II,gup-t,526,809,ROOT;TR;1PL.II,gubi'm,eat.I-TR-1PL.II,gup-TR-1PL.II,gup-i-'m
245,809,ROOT;TR;1PL.II,gubi'm,eat.I-TR-1PL.II,gup-TR-1PL.II,gup-i-'m,526,806,ROOT;3PL.II,gupdiit,eat.I-3PL.II,gup-3PL.II,gup-diit
246,809,ROOT;TR;1PL.II,gubi'm,eat.I-TR-1PL.II,gup-TR-1PL.II,gup-i-'m,526,808,ROOT;TR;1SG.II,gubi'y,eat.I-TR-1SG.II,gup-TR-1SG.II,gup-i-'y
247,809,ROOT;TR;1PL.II,gubi'm,eat.I-TR-1PL.II,gup-TR-1PL.II,gup-i-'m,526,804,ROOT,gup,eat.I,gup,gup
248,809,ROOT;TR;1PL.II,gubi'm,eat.I-TR-1PL.II,gup-TR-1PL.II,gup-i-'m,526,805,ROOT;3.II,gupt,eat.I-3.II,gup-3.II,gup-t
251,393,ROOT,gyoo,doc,gyoo,gyoo,158,394,ROOT;3.II,gyoot,dock-3.II,gyoo-3.II,gyoo-t
252,394,ROOT;3.II,gyoot,dock-3.II,gyoo-3.II,gyoo-t,158,393,ROOT,gyoo,doc,gyoo,gyoo
255,618,ROOT;3PL.II,sdo'oksdiit,beside-3PL.II,sdo'oks-3PL.II,sdo'oks-diit,300,617,ROOT,sdo'oks,beside,sdo'oks,sdo'oks
256,617,ROOT,sdo'oks,beside,sdo'oks,sdo'oks,300,618,ROOT;3PL.II,sdo'oksdiit,beside-3PL.II,sdo'oks-3PL.II,sdo'oks-diit
259,1254,ROOT;3PL.II,luuyuxwdiit,in.I-follow-3PL.II,luu-yuxw-3PL.II,luu-yuxw-diit,990,1253,ROOT,luuyuxw,in.I-follow,luu-yuxw,luu-yuxw
260,1253,ROOT,luuyuxw,in.I-follow,luu-yuxw,luu-yuxw,990,1254,ROOT;3PL.II,luuyuxwdiit,in.I-follow-3PL.II,luu-yuxw-3PL.II,luu-yuxw-diit
263,427,ROOT;PL;3PL.II,loodiit,move.in.water.PL-3PL.II,loo.PL-3PL.II,loo-diit,168,423,ROOT,gyoo,move.in.water,gyoo,gyoo
264,427,ROOT;PL;3PL.II,loodiit,move.in.water.PL-3PL.II,loo.PL-3PL.II,loo-diit,168,424,ROOT;PL,loo,move.in.water.PL,loo.PL,loo
265,427,ROOT;PL;3PL.II,loodiit,move.in.water.PL-3PL.II,loo.PL-3PL.II,loo-diit,168,426,ROOT;PL;3.II,loot,move.in.water.PL-3.II,loo.PL-3.II,loo-t
266,423,ROOT,gyoo,move.in.water,gyoo,gyoo,168,427,ROOT;PL;3PL.II,loodiit,move.in.water.PL-3PL.II,loo.PL-3PL.II,loo-diit
268,423,ROOT,gyoo,move.in.water,gyoo,gyoo,168,424,ROOT;PL,loo,move.in.water.PL,loo.PL,loo
269,423,ROOT,gyoo,move.in.water,gyoo,gyoo,168,426,ROOT;PL;3.II,loot,move.in.water.PL-3.II,loo.PL-3.II,loo-t
270,424,ROOT;PL,loo,move.in.water.PL,loo.PL,loo,168,427,ROOT;PL;3PL.II,loodiit,move.in.water.PL-3PL.II,loo.PL-3PL.II,loo-diit
271,424,ROOT;PL,loo,move.in.water.PL,loo.PL,loo,168,423,ROOT,gyoo,move.in.water,gyoo,gyoo
273,424,ROOT;PL,loo,move.in.water.PL,loo.PL,loo,168,426,ROOT;PL;3.II,loot,move.in.water.PL-3.II,loo.PL-3.II,loo-t
274,426,ROOT;PL;3.II,loot,move.in.water.PL-3.II,loo.PL-3.II,loo-t,168,427,ROOT;PL;3PL.II,loodiit,move.in.water.PL-3PL.II,loo.PL-3PL.II,loo-diit
275,426,ROOT;PL;3.II,loot,move.in.water.PL-3.II,loo.PL-3.II,loo-t,168,423,ROOT,gyoo,move.in.water,gyoo,gyoo
276,426,ROOT;PL;3.II,loot,move.in.water.PL-3.II,loo.PL-3.II,loo-t,168,424,ROOT;PL,loo,move.in.water.PL,loo.PL,loo
279,357,ROOT;PL;1PL.II,mas'usi'm,play.PL-1PL.II,mihas'us.PL-1PL.II,mihas'us-'m,136,354,ROOT,ma'us,play,ma'us,ma'us
280,357,ROOT;PL;1PL.II,mas'usi'm,play.PL-1PL.II,mihas'us.PL-1PL.II,mihas'us-'m,136,358,ROOT;PL;2SG.II,mihas'usin,play.PL-2SG.II,mihas'us.PL-2SG.II,mihas'us-n
281,354,ROOT,ma'us,play,ma'us,ma'us,136,357,ROOT;PL;1PL.II,mas'usi'm,play.PL-1PL.II,mihas'us.PL-1PL.II,mihas'us-'m
283,354,ROOT,ma'us,play,ma'us,ma'us,136,358,ROOT;PL;2SG.II,mihas'usin,play.PL-2SG.II,mihas'us.PL-2SG.II,mihas'us-n
284,358,ROOT;PL;2SG.II,mihas'usin,play.PL-2SG.II,mihas'us.PL-2SG.II,mihas'us-n,136,357,ROOT;PL;1PL.II,mas'usi'm,play.PL-1PL.II,mihas'us.PL-1PL.II,mihas'us-'m
285,358,ROOT;PL;2SG.II,mihas'usin,play.PL-2SG.II,mihas'us.PL-2SG.II,mihas'us-n,136,354,ROOT,ma'us,play,ma'us,ma'us
288,371,ROOT,nibip,uncle,nibip,nibip,145,373,ROOT;1SG.II,nibibi'y,uncle-1SG.II,nibip-1SG.II,nibip-'y
289,373,ROOT;1SG.II,nibibi'y,uncle-1SG.II,nibip-1SG.II,nibip-'y,145,371,ROOT,nibip,uncle,nibip,nibip
292,876,ROOT;3PL.II,da'aKhlxwdiit,able.I-3PL.II,da'aKhlxw-3PL.II,da'ak̲hlxw-diit,602,875,ROOT,da'aKhlxw,able.I,da'aKhlxw,da'ak̲hlxw
293,875,ROOT,da'aKhlxw,able.I,da'aKhlxw,da'ak̲hlxw,602,876,ROOT;3PL.II,da'aKhlxwdiit,able.I-3PL.II,da'aKhlxw-3PL.II,da'ak̲hlxw-diit
296,1070,ROOT,sisgi,CAUS1-lie.on,si-sgi,si-sgi,775,1071,ROOT;3.II,sisgit,CAUS1-lie.on-3.II,si-sgi-3.II,si-sgi-t
297,1071,ROOT;3.II,sisgit,CAUS1-lie.on-3.II,si-sgi-3.II,si-sgi-t,775,1070,ROOT,sisgi,CAUS1-lie.on,si-sgi,si-sgi
300,712,ROOT;3PL.II,'windiit,tooth-3PL.II,'win-3PL.II,'win-diit,375,711,ROOT;3.II,'wint,tooth-3.II,'win-3.II,'win-t
301,711,ROOT;3.II,'wint,tooth-3.II,'win-3.II,'win-t,375,712,ROOT;3PL.II,'windiit,tooth-3PL.II,'win-3PL.II,'win-diit
304,897,ROOT,hligu,relative.I,hligwi,hligu,635,898,ROOT;1PL.II,hligu'm,relative.I-1PL.II,hligwi-1PL.II,hligu-'m
305,898,ROOT;1PL.II,hligu'm,relative.I-1PL.II,hligwi-1PL.II,hligu-'m,635,897,ROOT,hligu,relative.I,hligwi,hligu
308,14,ROOT;3PL.II,wildiit,be/do-3PL.II,wil-3PL.II,wil-diit,4,15,ROOT;2SG.II,win,be/do-2SG.II,wil-2SG.II,wil-n
309,14,ROOT;3PL.II,wildiit,be/do-3PL.II,wil-3PL.II,wil-diit,4,9,ROOT;SX,wilt,be/do-SX,wil-SX,wil-it
310,14,ROOT;3PL.II,wildiit,be/do-3PL.II,wil-3PL.II,wil-diit,4,13,ROOT;2PL.II,wilsi'm,be/do-2PL.II,wil-2PL.II,wil-si'm
311,14,ROOT;3PL.II,wildiit,be/do-3PL.II,wil-3PL.II,wil-diit,4,11,ROOT;3.II,wilt,be/do-3.II,wil-3.II,wil-t
312,15,ROOT;2SG.II,win,be/do-2SG.II,wil-2SG.II,wil-n,4,14,ROOT;3PL.II,wildiit,be/do-3PL.II,wil-3PL.II,wil-diit
314,15,ROOT;2SG.II,win,be/do-2SG.II,wil-2SG.II,wil-n,4,9,ROOT;SX,wilt,be/do-SX,wil-SX,wil-it
315,15,ROOT;2SG.II,win,be/do-2SG.II,wil-2SG.II,wil-n,4,13,ROOT;2PL.II,wilsi'm,be/do-2PL.II,wil-2PL.II,wil-si'm
316,15,ROOT;2SG.II,win,be/do-2SG.II,wil-2SG.II,wil-n,4,11,ROOT;3.II,wilt,be/do-3.II,wil-3.II,wil-t
317,9,ROOT;SX,wilt,be/do-SX,wil-SX,wil-it,4,14,ROOT;3PL.II,wildiit,be/do-3PL.II,wil-3PL.II,wil-diit
318,9,ROOT;SX,wilt,be/do-SX,wil-SX,wil-it,4,15,ROOT;2SG.II,win,be/do-2SG.II,wil-2SG.II,wil-n
320,9,ROOT;SX,wilt,be/do-SX,wil-SX,wil-it,4,13,ROOT;2PL.II,wilsi'm,be/do-2PL.II,wil-2PL.II,wil-si'm
321,9,ROOT;SX,wilt,be/do-SX,wil-SX,wil-it,4,11,ROOT;3.II,wilt,be/do-3.II,wil-3.II,wil-t
322,13,ROOT;2PL.II,wilsi'm,be/do-2PL.II,wil-2PL.II,wil-si'm,4,14,ROOT;3PL.II,wildiit,be/do-3PL.II,wil-3PL.II,wil-diit
323,13,ROOT;2PL.II,wilsi'm,be/do-2PL.II,wil-2PL.II,wil-si'm,4,15,ROOT;2SG.II,win,be/do-2SG.II,wil-2SG.II,wil-n
324,13,ROOT;2PL.II,wilsi'm,be/do-2PL.II,wil-2PL.II,wil-si'm,4,9,ROOT;SX,wilt,be/do-SX,wil-SX,wil-it
326,13,ROOT;2PL.II,wilsi'm,be/do-2PL.II,wil-2PL.II,wil-si'm,4,11,ROOT;3.II,wilt,be/do-3.II,wil-3.II,wil-t
327,11,ROOT;3.II,wilt,be/do-3.II,wil-3.II,wil-t,4,14,ROOT;3PL.II,wildiit,be/do-3PL.II,wil-3PL.II,wil-diit
328,11,ROOT;3.II,wilt,be/do-3.II,wil-3.II,wil-t,4,15,ROOT;2SG.II,win,be/do-2SG.II,wil-2SG.II,wil-n
329,11,ROOT;3.II,wilt,be/do-3.II,wil-3.II,wil-t,4,9,ROOT;SX,wilt,be/do-SX,wil-SX,wil-it
330,11,ROOT;3.II,wilt,be/do-3.II,wil-3.II,wil-t,4,13,ROOT;2PL.II,wilsi'm,be/do-2PL.II,wil-2PL.II,wil-si'm
333,697,ROOT;ATTR,daGo'odim,elderly-ATTR,daGo'ot-ATTR,dag̲o'ot-m,361,696,ROOT,daGo'ot,elderly,daGo'ot,dag̲o'ot
334,696,ROOT,daGo'ot,elderly,daGo'ot,dag̲o'ot,361,697,ROOT;ATTR,daGo'odim,elderly-ATTR,daGo'ot-ATTR,dag̲o'ot-m
337,726,ROOT;3.II,'weesxwt,bountiful-3.II,'weesxw-3.II,'weesxw-t,393,725,ROOT,'weesxw,bountiful,'weesxw,'weesxw
338,725,ROOT,'weesxw,bountiful,'weesxw,'weesxw,393,726,ROOT;3.II,'weesxwt,bountiful-3.II,'weesxw-3.II,'weesxw-t
341,899,ROOT,a'laX,angry.I,a'laX,a'lax̲,638,902,ROOT;3PL.II,a'laXdiit,angry.I-3PL.II,a'laX-3PL.II,a'lax̲-diit
342,899,ROOT,a'laX,angry.I,a'laX,a'lax̲,638,901,ROOT;1PL.II,a'laXa'm,angry.I-1PL.II,a'laX-1PL.II,a'lax̲-'m
343,902,ROOT;3PL.II,a'laXdiit,angry.I-3PL.II,a'laX-3PL.II,a'lax̲-diit,638,899,ROOT,a'laX,angry.I,a'laX,a'lax̲
345,902,ROOT;3PL.II,a'laXdiit,angry.I-3PL.II,a'laX-3PL.II,a'lax̲-diit,638,901,ROOT;1PL.II,a'laXa'm,angry.I-1PL.II,a'laX-1PL.II,a'lax̲-'m
346,901,ROOT;1PL.II,a'laXa'm,angry.I-1PL.II,a'laX-1PL.II,a'lax̲-'m,638,899,ROOT,a'laX,angry.I,a'laX,a'lax̲
347,901,ROOT;1PL.II,a'laXa'm,angry.I-1PL.II,a'laX-1PL.II,a'lax̲-'m,638,902,ROOT;3PL.II,a'laXdiit,angry.I-3PL.II,a'laX-3PL.II,a'lax̲-diit
350,472,ROOT;1PL.II,k'i'lixsi'm,alone-1PL.II,k'i'lixs-1PL.II,k'i'lixs-'m,186,471,ROOT,k'i'lixs,alone,k'i'lixs,k'i'lixs
351,471,ROOT,k'i'lixs,alone,k'i'lixs,k'i'lixs,186,472,ROOT;1PL.II,k'i'lixsi'm,alone-1PL.II,k'i'lixs-1PL.II,k'i'lixs-'m
354,1077,ROOT,'wits'in,mash-CAUS2,'wits'-in,'wits'-in,779,1078,ROOT;3PL.II,'wits'indiit,mash-CAUS2-3PL.II,'wits'-in-3PL.II,'wits'-in-diit
355,1078,ROOT;3PL.II,'wits'indiit,mash-CAUS2-3PL.II,'wits'-in-3PL.II,'wits'-in-diit,779,1077,ROOT,'wits'in,mash-CAUS2,'wits'-in,'wits'-in
358,474,ROOT;3.II,umKxwt,dislike-3.II,umKxw-3.II,umk̲xw-t,188,473,ROOT,umKxw,dislike,umKxw,umk̲xw
359,473,ROOT,umKxw,dislike,umKxw,umk̲xw,188,474,ROOT;3.II,umKxwt,dislike-3.II,umKxw-3.II,umk̲xw-t
362,744,ROOT;3.II,Gost,jump-3.II,Gos-3.II,g̲os-t,429,743,ROOT,Gos,jump,Gos,g̲os
363,743,ROOT,Gos,jump,Gos,g̲os,429,744,ROOT;3.II,Gost,jump-3.II,Gos-3.II,g̲os-t
366,525,ROOT;1SG.II,mail'y,mail-1SG.II,mail-1SG.II,mail-'y,221,524,ROOT,mail,mail,mail,mail
367,524,ROOT,mail,mail,mail,mail,221,525,ROOT;1SG.II,mail'y,mail-1SG.II,mail-1SG.II,mail-'y
370,153,ROOT;3PL.II,liseexwdiit,discuss-3PL.II,liseexw-3PL.II,liseexw-diit,44,152,ROOT,liseexw,discuss,liseexw,liseexw
371,152,ROOT,liseexw,discuss,liseexw,liseexw,44,153,ROOT;3PL.II,liseexwdiit,discuss-3PL.II,liseexw-3PL.II,liseexw-diit
374,860,ROOT;3.II,gwilat,blanket.I-3.II,gwila-3.II,gwila-t,577,861,ROOT;1PL.II,gwila'm,blanket.I-1PL.II,gwila-1PL.II,gwila-'m
375,860,ROOT;3.II,gwilat,blanket.I-3.II,gwila-3.II,gwila-t,577,862,ROOT;3PL.II,gwiladiit,blanket.I-3PL.II,gwila-3PL.II,gwila-diit
376,860,ROOT;3.II,gwilat,blanket.I-3.II,gwila-3.II,gwila-t,577,863,ROOT;2SG.II,gwilan,blanket.I-2SG.II,gwila-2SG.II,gwila-n
377,861,ROOT;1PL.II,gwila'm,blanket.I-1PL.II,gwila-1PL.II,gwila-'m,577,860,ROOT;3.II,gwilat,blanket.I-3.II,gwila-3.II,gwila-t
379,861,ROOT;1PL.II,gwila'm,blanket.I-1PL.II,gwila-1PL.II,gwila-'m,577,862,ROOT;3PL.II,gwiladiit,blanket.I-3PL.II,gwila-3PL.II,gwila-diit
380,861,ROOT;1PL.II,gwila'm,blanket.I-1PL.II,gwila-1PL.II,gwila-'m,577,863,ROOT;2SG.II,gwilan,blanket.I-2SG.II,gwila-2SG.II,gwila-n
381,862,ROOT;3PL.II,gwiladiit,blanket.I-3PL.II,gwila-3PL.II,gwila-diit,577,860,ROOT;3.II,gwilat,blanket.I-3.II,gwila-3.II,gwila-t
382,862,ROOT;3PL.II,gwiladiit,blanket.I-3PL.II,gwila-3PL.II,gwila-diit,577,861,ROOT;1PL.II,gwila'm,blanket.I-1PL.II,gwila-1PL.II,gwila-'m
384,862,ROOT;3PL.II,gwiladiit,blanket.I-3PL.II,gwila-3PL.II,gwila-diit,577,863,ROOT;2SG.II,gwilan,blanket.I-2SG.II,gwila-2SG.II,gwila-n
385,863,ROOT;2SG.II,gwilan,blanket.I-2SG.II,gwila-2SG.II,gwila-n,577,860,ROOT;3.II,gwilat,blanket.I-3.II,gwila-3.II,gwila-t
386,863,ROOT;2SG.II,gwilan,blanket.I-2SG.II,gwila-2SG.II,gwila-n,577,861,ROOT;1PL.II,gwila'm,blanket.I-1PL.II,gwila-1PL.II,gwila-'m
387,863,ROOT;2SG.II,gwilan,blanket.I-2SG.II,gwila-2SG.II,gwila-n,577,862,ROOT;3PL.II,gwiladiit,blanket.I-3PL.II,gwila-3PL.II,gwila-diit
390,220,ROOT,hlis,finish,hlis,hlis,68,221,ROOT;3.II,hlist,finish-3.II,hlis-3.II,hlis-t
391,221,ROOT;3.II,hlist,finish-3.II,hlis-3.II,hlis-t,68,220,ROOT,hlis,finish,hlis,hlis
394,1082,ROOT;3.II,guksint,soak-CAUS2-3.II,guks-in-3.II,guks-in-t,783,1081,ROOT,guksin,soak-CAUS2,guks-in,guks-in
395,1081,ROOT,guksin,soak-CAUS2,guks-in,guks-in,783,1082,ROOT;3.II,guksint,soak-CAUS2-3.II,guks-in-3.II,guks-in-t
398,454,ROOT,helt,much,hilt,helt,180,455,ROOT;ATTR,heldim,much-ATTR,hilt-ATTR,helt-m
399,455,ROOT;ATTR,heldim,much-ATTR,hilt-ATTR,helt-m,180,454,ROOT,helt,much,hilt,helt
402,1267,ROOT;1SG.II,Galts'ebi'y,container.I-village.people-1SG.II,Gal-ts'ep-1SG.II,g̲al-ts'ep-'y,1011,1263,ROOT,Galts'ep,container.I-village.people,Gal-ts'ep,g̲al-ts'ep
403,1267,ROOT;1SG.II,Galts'ebi'y,container.I-village.people-1SG.II,Gal-ts'ep-1SG.II,g̲al-ts'ep-'y,1011,1266,ROOT;3PL.II,Galts'epdiit,container.I-village.people-3PL.II,Gal-ts'ep-3PL.II,g̲al-ts'ep-diit
404,1263,ROOT,Galts'ep,container.I-village.people,Gal-ts'ep,g̲al-ts'ep,1011,1267,ROOT;1SG.II,Galts'ebi'y,container.I-village.people-1SG.II,Gal-ts'ep-1SG.II,g̲al-ts'ep-'y
406,1263,ROOT,Galts'ep,container.I-village.people,Gal-ts'ep,g̲al-ts'ep,1011,1266,ROOT;3PL.II,Galts'epdiit,container.I-village.people-3PL.II,Gal-ts'ep-3PL.II,g̲al-ts'ep-diit
407,1266,ROOT;3PL.II,Galts'epdiit,container.I-village.people-3PL.II,Gal-ts'ep-3PL.II,g̲al-ts'ep-diit,1011,1267,ROOT;1SG.II,Galts'ebi'y,container.I-village.people-1SG.II,Gal-ts'ep-1SG.II,g̲al-ts'ep-'y
408,1266,ROOT;3PL.II,Galts'epdiit,container.I-village.people-3PL.II,Gal-ts'ep-3PL.II,g̲al-ts'ep-diit,1011,1263,ROOT,Galts'ep,container.I-village.people,Gal-ts'ep,g̲al-ts'ep
411,1120,ROOT;1SG.II,ha'niiGoodi'y,INS-on.II-heart-1SG.II,ha-'nii-Goot-1SG.II,ha-'nii-g̲oot-'y,834,1119,ROOT;3PL.II,ha'niiGootdiit,INS-on.II-heart-3PL.II,ha-'nii-Goot-3PL.II,ha-'nii-g̲oot-diit
412,1119,ROOT;3PL.II,ha'niiGootdiit,INS-on.II-heart-3PL.II,ha-'nii-Goot-3PL.II,ha-'nii-g̲oot-diit,834,1120,ROOT;1SG.II,ha'niiGoodi'y,INS-on.II-heart-1SG.II,ha-'nii-Goot-1SG.II,ha-'nii-g̲oot-'y
415,242,ROOT;PL;3.II,doKt,take.PL-3.II,doK.PL-3.II,dok̲-t,76,243,ROOT;PL;3PL.II,doKdiit,take.PL-3PL.II,doK.PL-3PL.II,dok̲-diit
416,242,ROOT;PL;3.II,doKt,take.PL-3.II,doK.PL-3.II,dok̲-t,76,244,ROOT;PL;TR;3.II,doGot,take.PL-TR-3.II,doK.PL-TR-3.II,dok̲-i-t
417,242,ROOT;PL;3.II,doKt,take.PL-3.II,doK.PL-3.II,dok̲-t,76,239,ROOT,guu,take,guu,guu
418,243,ROOT;PL;3PL.II,doKdiit,take.PL-3PL.II,doK.PL-3PL.II,dok̲-diit,76,242,ROOT;PL;3.II,doKt,take.PL-3.II,doK.PL-3.II,dok̲-t
420,243,ROOT;PL;3PL.II,doKdiit,take.PL-3PL.II,doK.PL-3PL.II,dok̲-diit,76,244,ROOT;PL;TR;3.II,doGot,take.PL-TR-3.II,doK.PL-TR-3.II,dok̲-i-t
421,243,ROOT;PL;3PL.II,doKdiit,take.PL-3PL.II,doK.PL-3PL.II,dok̲-diit,76,239,ROOT,guu,take,guu,guu
422,244,ROOT;PL;TR;3.II,doGot,take.PL-TR-3.II,doK.PL-TR-3.II,dok̲-i-t,76,242,ROOT;PL;3.II,doKt,take.PL-3.II,doK.PL-3.II,dok̲-t
423,244,ROOT;PL;TR;3.II,doGot,take.PL-TR-3.II,doK.PL-TR-3.II,dok̲-i-t,76,243,ROOT;PL;3PL.II,doKdiit,take.PL-3PL.II,doK.PL-3PL.II,dok̲-diit
425,244,ROOT;PL;TR;3.II,doGot,take.PL-TR-3.II,doK.PL-TR-3.II,dok̲-i-t,76,239,ROOT,guu,take,guu,guu
426,239,ROOT,guu,take,guu,guu,76,242,ROOT;PL;3.II,doKt,take.PL-3.II,doK.PL-3.II,dok̲-t
427,239,ROOT,guu,take,guu,guu,76,243,ROOT;PL;3PL.II,doKdiit,take.PL-3PL.II,doK.PL-3PL.II,dok̲-diit
428,239,ROOT,guu,take,guu,guu,76,244,ROOT;PL;TR;3.II,doGot,take.PL-TR-3.II,doK.PL-TR-3.II,dok̲-i-t
431,1259,ROOT,luuhitxwGoot,in.I-cry.out-heart,luu-hitxw-Goot,luu-hitxw-g̲oot,1001,1260,ROOT;3PL.II,luuhitxwGootdiit,in.I-cry.out-heart-3PL.II,luu-hitxw-Goot-3PL.II,luu-hitxw-g̲oot-diit
432,1260,ROOT;3PL.II,luuhitxwGootdiit,in.I-cry.out-heart-3PL.II,luu-hitxw-Goot-3PL.II,luu-hitxw-g̲oot-diit,1001,1259,ROOT,luuhitxwGoot,in.I-cry.out-heart,luu-hitxw-Goot,luu-hitxw-g̲oot
435,1166,ROOT;3.II,sGa'wat,blocking.way-find-3.II,sGa-'wa-3.II,sg̲a-'wa-t,891,1165,ROOT,sGa'wa,blocking.way-find,sGa-'wa,sg̲a-'wa
436,1165,ROOT,sGa'wa,blocking.way-find,sGa-'wa,sg̲a-'wa,891,1166,ROOT;3.II,sGa'wat,blocking.way-find-3.II,sGa-'wa-3.II,sg̲a-'wa-t
439,942,ROOT,anooK,like,anooK,anook̲,678,943,ROOT;3.II,anooKt,like-3.II,anooK-3.II,anook̲-t
440,943,ROOT;3.II,anooKt,like-3.II,anooK-3.II,anook̲-t,678,942,ROOT,anooK,like,anooK,anook̲
443,1170,ROOT,xsa'aKxw,out-attain,xsa-'aKxw,xsa-'ak̲xw,899,1171,ROOT;1SG.II,xsa'aKxwi'y,out-attain-1SG.II,xsa-'aKxw-1SG.II,xsa-'ak̲xw-'y
444,1171,ROOT;1SG.II,xsa'aKxwi'y,out-attain-1SG.II,xsa-'aKxw-1SG.II,xsa-'ak̲xw-'y,899,1170,ROOT,xsa'aKxw,out-attain,xsa-'aKxw,xsa-'ak̲xw
447,429,ROOT;SX,gilbilt,two-SX,gilbil-SX,gilbil-it,169,428,ROOT,gilbil,two,gilbil,gilbil
448,428,ROOT,gilbil,two,gilbil,gilbil,169,429,ROOT;SX,gilbilt,two-SX,gilbil-SX,gilbil-it
451,1103,ROOT,hlenin,move.I-CAUS2,hlen-in,hlen-in,809,1104,ROOT;3PL.II,hlendindiit,move.I-CAUS2-3PL.II,hlen-in-3PL.II,hlen-in-diit
452,1104,ROOT;3PL.II,hlendindiit,move.I-CAUS2-3PL.II,hlen-in-3PL.II,hlen-in-diit,809,1103,ROOT,hlenin,move.I-CAUS2,hlen-in,hlen-in
455,632,ROOT;3.II,t'aahlt,pick.berries-3.II,t'aahl-3.II,t'aahl-t,308,631,ROOT,t'aahl,pick.berries,t'aahl,t'aahl
456,631,ROOT,t'aahl,pick.berries,t'aahl,t'aahl,308,632,ROOT;3.II,t'aahlt,pick.berries-3.II,t'aahl-3.II,t'aahl-t
459,502,ROOT;PL;1PL.II,woowaXa'm,sleep.PL-1PL.II,woowaX.PL-1PL.II,woowax̲-'m,207,501,ROOT;3.II,woKt,sleep-3.II,woK-3.II,wok̲-t
460,501,ROOT;3.II,woKt,sleep-3.II,woK-3.II,wok̲-t,207,502,ROOT;PL;1PL.II,woowaXa'm,sleep.PL-1PL.II,woowaX.PL-1PL.II,woowax̲-'m
463,322,ROOT;3.II,sgett,be.born-3.II,sget-3.II,sget-t,113,321,ROOT,sget,be.born,sget,sget
464,321,ROOT,sget,be.born,sget,sget,113,322,ROOT;3.II,sgett,be.born-3.II,sget-3.II,sget-t
467,162,ROOT,kwsdins,five,kwsdins,kwsdins,48,163,ROOT;SX,kwsdinsit,five-SX,kwsdins-SX,kwsdins-it
468,163,ROOT;SX,kwsdinsit,five-SX,kwsdins-SX,kwsdins-it,48,162,ROOT,kwsdins,five,kwsdins,kwsdins
471,768,ROOT;3PL.II,depdiit,measure-3PL.II,dep-3PL.II,dep-diit,454,767,ROOT,dep,measure,dep,dep
472,767,ROOT,dep,measure,dep,dep,454,768,ROOT;3PL.II,depdiit,measure-3PL.II,dep-3PL.II,dep-diit
475,112,ROOT,Xde,be.hungry,Xde,x̲dex,30,114,ROOT;1PL.II,Xdeyi'm,be.hungry-1PL.II,Xdex-1PL.II,x̲dex-'m
476,112,ROOT,Xde,be.hungry,Xde,x̲dex,30,115,PL;ROOT;3PL.II,luxdaxdiit,PL-be.hungry-3PL.II,PL-Xdex-3PL.II,li-xwdax-diit
477,114,ROOT;1PL.II,Xdeyi'm,be.hungry-1PL.II,Xdex-1PL.II,x̲dex-'m,30,112,ROOT,Xde,be.hungry,Xde,x̲dex
479,114,ROOT;1PL.II,Xdeyi'm,be.hungry-1PL.II,Xdex-1PL.II,x̲dex-'m,30,115,PL;ROOT;3PL.II,luxdaxdiit,PL-be.hungry-3PL.II,PL-Xdex-3PL.II,li-xwdax-diit
480,115,PL;ROOT;3PL.II,luxdaxdiit,PL-be.hungry-3PL.II,PL-Xdex-3PL.II,li-xwdax-diit,30,112,ROOT,Xde,be.hungry,Xde,x̲dex
481,115,PL;ROOT;3PL.II,luxdaxdiit,PL-be.hungry-3PL.II,PL-Xdex-3PL.II,li-xwdax-diit,30,114,ROOT;1PL.II,Xdeyi'm,be.hungry-1PL.II,Xdex-1PL.II,x̲dex-'m
484,1021,ROOT,kw'ootin,lost-CAUS2,kw'oot-in,kw'oot-in,739,1022,ROOT;TR;1PL.II,kw'oodini'm,lost-CAUS2-TR-1PL.II,kw'oot-in-TR-1PL.II,kw'oot-in-i-'m??=?
